dia,turno,temp_media_turno
2025-10-31,Manhã,25.310344827586206
2025-10-31,Tarde,29.672777777777778
2025-10-31,Noite,21.61
2025-11-01,Madrugada,17.136111111111113
2025-11-01,Manhã,24.075555555555557
2025-11-01,Tarde,27.71388888888889
2025-11-01,Noite,21.832222222222224
2025-11-02,Madrugada,19.46222222222222
2025-11-02,Manhã,23.63888888888889
2025-11-02,Tarde,31.28611111111111
2025-11-02,Noite,26.166666666666668
2025-11-03,Madrugada,21.549444444444443
2025-11-03,Manhã,24.991666666666667
2025-11-03,Tarde,33.01222222222222
2025-11-03,Noite,26.256666666666664
2025-11-04,Madrugada,21.04888888888889
2025-11-04,Manhã,26.247222222222224
2025-11-04,Tarde,34.58111111111111
2025-11-04,Noite,28.616666666666667
2025-11-05,Madrugada,23.038888888888888
2025-11-05,Manhã,25.157777777777774
2025-11-05,Tarde,30.910555555555554
2025-11-05,Noite,23.012777777777778
2025-11-06,Madrugada,18.002777777777776
2025-11-06,Manhã,21.33111111111111
2025-11-06,Tarde,31.407222222222224
2025-11-06,Noite,23.885
2025-11-07,Madrugada,19.200555555555557
2025-11-07,Manhã,18.499444444444446
2025-11-07,Tarde,18.63222222222222
2025-11-07,Noite,18.23
2025-11-08,Madrugada,16.726666666666667
2025-11-08,Manhã,18.665555555555557
2025-11-08,Tarde,22.650555555555556
2025-11-08,Noite,20.243333333333336
2025-11-09,Madrugada,16.32111111111111
2025-11-09,Manhã,21.07611111111111
2025-11-09,Tarde,31.127777777777776
2025-11-09,Noite,22.514444444444443
2025-11-10,Madrugada,17.76
2025-11-10,Manhã,23.503333333333334
2025-11-10,Tarde,34.138888888888886
2025-11-10,Noite,24.82777777777778
2025-11-11,Madrugada,19.27722222222222
2025-11-11,Manhã,25.37666666666667
2025-11-11,Tarde,33.781666666666666
2025-11-11,Noite,26.675555555555558
2025-11-12,Madrugada,23.16333333333333
2025-11-12,Manhã,25.365555555555556
2025-11-12,Tarde,26.447222222222223
2025-11-12,Noite,23.782777777777774
2025-11-13,Madrugada,22.25722222222222
2025-11-13,Manhã,26.328888888888887
2025-11-13,Tarde,33.765
2025-11-13,Noite,27.390555555555558
2025-11-14,Madrugada,22.63
2025-11-14,Manhã,22.225609756097562
